DT_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASILEIRO,PAIS,UF_COMPLEXO,MUNICIPIO_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,PUBLICO
2023-05-06,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,PE,RECIFE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,299
2023-04-02,COCAINE BEAR,O URSO DO PÓ BRANCO, Estados Unidos,PE,RECIFE,WARNER BROS. (SOUTH) INC.,131
2023-01-31,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PA,MARABÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,21
2023-05-11,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,AM,MANAUS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,40
2023-02-03,KNOCK AT THE CABIN,BATEM À PORTA, Estados Unidos,SC,MAFRA,WARNER BROS. (SOUTH) INC.,10
2023-04-30,NINGUÉM É DE NINGUÉM,, Brasil,AM,MANAUS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,9
2023-05-05,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,RS,PORTO ALEGRE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,14
2023-06-29,THE FLASH,THE FLASH, Estados Unidos,PE,OLINDA,WARNER BROS. (SOUTH) INC.,55
2023-04-24,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",PR,GUARATUBA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,7
2023-01-31,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PA,MARABÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,6
2023-01-22,NAS ONDAS DA FÉ,, Brasil,SP,SÃO PAULO,WMIX DISTRIBUIDORA LTDA.,2
2023-02-21,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,MT,LUCAS DO RIO VERDE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,27
2023-05-04,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,31
2023-04-14,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",MG,POUSO ALEGRE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,18
2023-02-18,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,278
2023-01-15,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PE,OLINDA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,134
2023-05-08,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,OSASCO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,168
2023-03-11,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,MT,GUARANTÃ DO NORTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,2
2023-06-18,THE FLASH,THE FLASH, Estados Unidos,RJ,SÃO GONÇALO,WARNER BROS. (SOUTH) INC.,194
2023-01-28,SHORTBUS,SHORTBUS, Estados Unidos,AM,MANAUS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,7
2023-04-11,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,DF,BRASÍLIA,WARNER BROS. (SOUTH) INC.,20
2023-03-07,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,GO,APARECIDA DE GOIÂNIA,WARNER BROS. (SOUTH) INC.,15
2023-05-18,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,72
2023-04-13,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,29
2023-01-09,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SOROCABA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,19
2023-04-13,AIR,AIR: A HISTÓRIA POR TRÁS DO LOGO, Estados Unidos,PA,ANANINDEUA,WARNER BROS. (SOUTH) INC.,3
2023-04-01,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,GUARULHOS,WARNER BROS. (SOUTH) INC.,52
2023-04-19,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SC,BLUMENAU,WARNER BROS. (SOUTH) INC.,88
2023-02-04,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,BA,SALVADOR,WARNER BROS. (SOUTH) INC.,50
2023-02-28,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,RS,NOVO HAMBURGO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,27
2023-06-13,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,2
2023-02-07,PROJECT GEMINI,GEMINI: O PLANETA SOMBRIO, Rússia,SP,BARUERI,SM DISTRIBUIDORA DE FILMES LTDA,2
2023-01-08,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SÃO JOSÉ DO RIO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,20
2023-06-21,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,RJ,SAQUAREMA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,7
